Orthogroup	1	2	3	4	5	6	7	8	9	10
OG0000075	GO:0004715; GO:0004993; GO:0007187; GO:0007268; GO:0016020; GO:0030425; GO:0030594; GO:0045202 (98)	GO:0004930; GO:0016020 (92)	GO:0004715; GO:0004989; GO:0005886; GO:0008227; GO:0071880 (36)	GO:0004715; GO:0008227; GO:0016020; GO:0071880 (35)	GO:0004935; GO:0005886 (28)	GO:0004715; GO:0004989; GO:0016020; GO:0071880 (23)	GO:0004715; GO:0004930; GO:0004935; GO:0005886; GO:0071880 (23)	GO:0004989; GO:0005886 (21)	GO:0005886; GO:0016907; GO:0045202 (16)	GO:0004983; GO:0016020 (15)
OG0000076	None									
OG0000077	GO:0005524; GO:0005886; GO:0016887; GO:0042626; GO:0055085; GO:0140359 (165)	GO:0005524; GO:0016020; GO:0016887; GO:0140359 (141)	GO:0005524; GO:0016020; GO:0016887; GO:0031409; GO:0140359 (33)	GO:0005524; GO:0140359 (12)	GO:0005524 (10)	GO:0140359 (10)	GO:0005524; GO:0005886; GO:0016787; GO:0042626; GO:0055085; GO:0140359 (10)	GO:0016020; GO:0140359 (9)	GO:0004252; GO:0005524; GO:0006508; GO:0016020; GO:0016887; GO:0140359 (6)	GO:0005524; GO:0016020; GO:0016620; GO:0016887; GO:0140359 (1)
OG0000078	GO:0016740 (359)	GO:0004497; GO:0005506; GO:0005789; GO:0016705; GO:0020037 (38)								
OG0000079	None									
OG0000080	GO:0004316 (274)	GO:0016491 (86)	GO:0004316; GO:0016616 (33)							
OG0000081	GO:0000139; GO:0006486; GO:0016757; GO:0030246 (149)	GO:0000139; GO:0004653; GO:0005794; GO:0006493; GO:0030246 (131)	GO:0000139; GO:0004653; GO:0005794; GO:0006493 (38)	GO:0000139; GO:0016757; GO:0030246 (28)	GO:0000139; GO:0004653; GO:0005112; GO:0005794; GO:0006493; GO:0008593; GO:0030246 (20)	GO:0004653; GO:0005794; GO:0006493 (13)	GO:0000139 (9)	GO:0000139; GO:0000175; GO:0003676; GO:0004713; GO:0005925; GO:0006468; GO:0007172; GO:0030246 (1)	GO:0016740 (1)	
OG0000082	GO:0003824 (389)									
OG0000083	GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0006468; GO:0016020; GO:0035556 (50)	GO:0004383; GO:0004672; GO:0005524; GO:0006468; GO:0006935; GO:0007635; GO:0010038; GO:0016020; GO:0035556 (45)	GO:0004383; GO:0004672; GO:0005524; GO:0006468; GO:0035556 (38)	GO:0004383; GO:0004672; GO:0005524; GO:0006468; GO:0016020; GO:0035556 (34)	GO:0001653; GO:0004016; GO:0004383; GO:0004672; GO:0005524; GO:0005886; GO:0006182; GO:0006468; GO:0007168; GO:0035556 (29)	GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0006468; GO:0007165; GO:0016020; GO:0017046; GO:0038023 (26)	GO:0001653; GO:0004016; GO:0004383; GO:0004713; GO:0005524; GO:0005886; GO:0006182; GO:0006468; GO:0006935; GO:0007168; GO:0007635; GO:0010038; GO:0035556 (24)	GO:0001653; GO:0004016; GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0005886; GO:0006182; GO:0006468; GO:0007168; GO:0035556 (22)	GO:0004383; GO:0004713; GO:0005524; GO:0006468; GO:0006935; GO:0007635; GO:0010038; GO:0035556 (20)	GO:0004672; GO:0005524; GO:0006182; GO:0006468; GO:0009975; GO:0016020; GO:0016849; GO:0035556 (19)
OG0000084	GO:0004197; GO:0006508; GO:0016020; GO:0022857 (159)	GO:0008643; GO:0016020 (92)	GO:0016020; GO:0022857 (78)	GO:0008643; GO:0016020; GO:0022857 (32)	GO:0016020 (20)					
OG0000085	GO:0005886; GO:0007155; GO:0007411 (303)	GO:0005886; GO:0007156; GO:0007411; GO:0030424; GO:0070593; GO:0098632 (77)								
OG0000086	GO:0004888; GO:0022848; GO:0045211 (202)	GO:0004888; GO:0022848; GO:0043005; GO:0045202; GO:0045211 (96)	GO:0004888; GO:0005230; GO:0016020 (69)	GO:0005230; GO:0016020 (8)	GO:0006811; GO:0016020 (3)					
OG0000087	GO:0005886; GO:0006811; GO:0055085 (154)	GO:0005886; GO:0006811; GO:0015347; GO:0043252 (99)	GO:0015347; GO:0016020; GO:0043252 (94)	GO:0016020; GO:0055085 (25)	GO:0006633; GO:0016020; GO:0016717; GO:0046872; GO:0055085 (3)					
OG0000088	None									
OG0000089	GO:0016020 (371)									
OG0000090	None									
OG0000091	GO:0006897; GO:0016020 (135)	GO:0005509; GO:0006897; GO:0016020 (127)	GO:0004252; GO:0004714; GO:0005509; GO:0005886; GO:0006897 (43)	GO:0004222; GO:0004252; GO:0004714; GO:0005509; GO:0005886; GO:0006897 (22)	GO:0005509 (14)	GO:0004252; GO:0005509; GO:0006897; GO:0016020 (8)	GO:0005509; GO:0005576; GO:0005886; GO:0006887; GO:0006897; GO:0044218; GO:0044231; GO:0090729 (6)	GO:0016020 (4)	GO:0005509; GO:0016020 (2)	
OG0000092	GO:0015918; GO:0032934 (290)	GO:0005576; GO:0015918; GO:0032367; GO:0032934 (51)	GO:0005576; GO:0032367; GO:0032934 (19)							
